
Handles NPM(K)   PM(K)   WS(K)       CPU(s)    Id SI ProcessName                                 
    365     94  330636  100024     1,051.97 36616  0 scanningprocess                             
   3270    189  415428  273804     1,010.42  5316  0 w3wp                                        
    670     68  131596   87148       914.03  8288  0 MSExchangeTransportLogSearch                
    846     84  129316   69492       864.84  8248  0 umservice                                   
   1438     26   58616   49728       849.20  2460  0 SMSvcHost                                   
   3103    119  284096   97044       795.33 37236  2 powershell                                  
    526     44  105836   68380       726.05 22744  3 ServerManager                               
    181     18   24184   33764       694.63  4168  0 inetinfo                                    
    723     81  106740   58884       691.20  7424  0 Microsoft.Exchange.UM.CallRouter            
   1262     52   19568   44224       690.88 23508  3 explorer                                    
   1635    116  264028  166444       690.83 56240  0 w3wp                                        
    764     78   66828   93624       641.92 37468  0 hostcontrollerservice                       
    828     40   26780   43552       619.31  4900  0 nbdisco                                     
   1425    106  239160  131480       615.20 24996  0 w3wp                                        
   2744     88   39468   59380       493.64 62040  5 explorer                                    
    869     28    3068    5760       483.00   600  0 csrss                                       
    147     16    2916   10132       481.81  4912  0 vnetd                                       
    216     14    2928    6808       448.83  2736  0 svchost                                     
   1001     39   20192   35888       445.44   548  0 svchost                                     
    322     38   43884   57188       442.30  1272  0 ParserServer                                
    568     36   15024   17872       415.05  1464  0 svchost                                     
    917     68  167792   80436       390.42 40768  0 w3wp                                        
   1180     24   11832   27008       324.08   928  0 svchost                                     
   1306     57   21356   45628       314.28 44720  6 explorer                                    
    139     12   34276   26848       269.30 63608  2 conhost                                     
    449     23   11040   24936       220.36  2440  0 svchost                                     
    587     71  101980   56064       200.45  7504  0 ForefrontActiveDirectoryConnector           
    675     62  122164   59856       163.83 14428  0 MSExchangeTransport                         
    358     33   36372   34288       116.30  8216  0 Microsoft.Exchange.AntispamUpdateSvc        
    641     58  114224   53872       111.41  7464  0 MSExchangeThrottling                        
    491     29    2692    7300        80.80  9448  2 csrss                                       
    668     27   11296   26676        80.44  2168  0 spoolsv                                     
    370     22   16688   35720        77.02  4324  3 Taskmgr                                     
    356     20    7436   16164        75.42 38768  6 RuntimeBroker                               
