UID        PID  PPID  C STIME TTY          TIME CMD
root      1060     2  0 Sep10 ?        00:00:00 [kdmflush]
root      1064     2  0 Sep10 ?        00:00:00 [kdmflush]
root      1067     2  0 Sep10 ?        00:00:00 [kdmflush]
root      1068     2  0 Sep10 ?        00:00:00 [kdmflush]
root      1093     2  0 Sep10 ?        00:00:00 [kdmflush]
root      1162     2  0 Sep10 ?        00:00:00 [jbd2/sdb1-8]
root      1163     2  0 Sep10 ?        00:00:00 [ext4-dio-unwrit]
root      1164     2  0 Sep10 ?        00:00:00 [jbd2/dm-6-8]
root      1165     2  0 Sep10 ?        00:00:00 [ext4-dio-unwrit]
root      1166     2  0 Sep10 ?        00:03:55 [jbd2/dm-7-8]
root      1167     2  0 Sep10 ?        00:00:00 [ext4-dio-unwrit]
root      1168     2  0 Sep10 ?        00:00:00 [jbd2/dm-4-8]
root      1169     2  0 Sep10 ?        00:00:00 [ext4-dio-unwrit]
root      1170     2  0 Sep10 ?        00:00:10 [jbd2/dm-5-8]
root      1171     2  0 Sep10 ?        00:00:00 [ext4-dio-unwrit]
root      1172     2  0 Sep10 ?        00:00:04 [jbd2/dm-2-8]
root      1173     2  0 Sep10 ?        00:00:00 [ext4-dio-unwrit]
root      1174     2  0 Sep10 ?        00:01:56 [jbd2/dm-3-8]
root      1175     2  0 Sep10 ?        00:00:00 [ext4-dio-unwrit]
root      1281     2  0 Sep10 ?        00:01:03 [kauditd]
root      1402     1  0 Sep10 ?        01:29:34 /usr/sbin/vmtoolsd
root      1466     2  0 Sep10 ?        00:00:55 [flush-253:3]
root      1785     1  0 Sep10 ?        00:03:07 auditd
root      1819     1  0 Sep10 ?        00:02:53 /sbin/rsyslogd -i /var/run/syslogd.pid -c 5
root      1853     1  0 Sep10 ?        00:06:17 irqbalance --pid=/var/run/irqbalance.pid
rpc       1871     1  0 Sep10 ?        00:00:09 rpcbind
rpcuser   1893     1  0 Sep10 ?        00:00:00 rpc.statd
root      1936     1  0 Sep10 ?        00:00:00 /opt/VRTSpbx/bin/pbx_exchange
dbus      1960     1  0 Sep10 ?        00:00:00 dbus-daemon --system
root      1981     1  0 Sep10 ?        00:00:00 cupsd -C /etc/cups/cupsd.conf
root      2013     1  0 Sep10 ?        00:00:00 /usr/sbin/acpid
68        2025     1  0 Sep10 ?        00:00:44 hald
root      2026  2025  0 Sep10 ?        00:00:00 hald-runner
root      2058  2026  0 Sep10 ?        00:00:00 hald-addon-input: Listening on /dev/input/event2 /dev/input/event0
68        2087  2026  0 Sep10 ?        00:00:00 hald-addon-acpi: listening on acpid socket /var/run/acpid.socket
root      2098     1  0 Sep10 ?        00:02:05 automount --pid-file /var/run/autofs.pid
root      2140     2  0 Sep10 ?        00:26:48 [rpciod/0]
root      2141     2  0 Sep10 ?        00:19:54 [rpciod/1]
root      2142     2  0 Sep10 ?        00:28:19 [rpciod/2]
root      2143     2  0 Sep10 ?        00:17:55 [rpciod/3]
root      2152     1  0 Sep10 ?        00:00:00 rpc.rquotad
root      2157     1  0 Sep10 ?        00:00:00 rpc.mountd
root      2163     2  0 Sep10 ?        00:00:00 [lockd]
root      2164     2  0 Sep10 ?        00:00:01 [nfsd4]
root      2165     2  0 Sep10 ?        00:00:00 [nfsd4_callbacks]
root      2166     2  0 Sep10 ?        00:00:00 [nfsd]
root      2167     2  0 Sep10 ?        00:00:00 [nfsd]
root      2168     2  0 Sep10 ?        00:00:00 [nfsd]
root      2169     2  0 Sep10 ?        00:00:00 [nfsd]
