Image Name                     PID Session Name        Session#    Mem Usage
SearchUI.exe                 19468 RDP-Tcp#90                 2     25,824 K
svchost.exe                   2440 Services                   0     24,936 K
sftracing.exe                 2136 Services                   0     24,344 K
svchost.exe                  38716                            5     23,352 K
sihost.exe                   18524 RDP-Tcp#90                 2     22,992 K
svchost.exe                   3132 RDP-Tcp#90                 2     22,108 K
svchost.exe                   8696                            9     21,956 K
svchost.exe                  23044                            3     21,884 K
svchost.exe                   2976 Services                   0     21,628 K
RuntimeBroker.exe            23220                            3     21,472 K
WMSvc.exe                     3012 Services                   0     21,340 K
SearchUI.exe                 25988                            5     21,316 K
svchost.exe                  36764                            6     21,304 K
sihost.exe                   60164                            9     21,020 K
fms.exe                       2756 Services                   0     20,400 K
sihost.exe                   26128                            5     20,156 K
sihost.exe                   23036                            3     20,000 K
updateservice.exe             7364 Services                   0     19,992 K
dwm.exe                       4740                            3     19,952 K
sihost.exe                   48612                            6     19,760 K
ApplicationFrameHost.exe     45700 RDP-Tcp#90                 2     19,680 K
taskhostw.exe                19032 RDP-Tcp#90                 2     18,868 K
svchost.exe                   1464 Services                   0     17,872 K
ApplicationFrameHost.exe     32696                            9     17,708 K
services.exe                   824 Services                   0     17,536 K
svchost.exe                  57112 Services                   0     16,900 K
ShellExperienceHost.exe      62756                            5     16,784 K
taskhostw.exe                27216                            6     16,596 K
taskhostw.exe                62868 RDP-Tcp#90                 2     16,348 K
rdpclip.exe                   6568 RDP-Tcp#90                 2     16,184 K
RuntimeBroker.exe            38768                            6     16,164 K
taskhostw.exe                29436                            5     16,084 K
mqsvc.exe                     2772 Services                   0     15,964 K
taskhostw.exe                51040                            9     15,684 K
conhost.exe                  43552                            6     15,680 K
conhost.exe                  39344 RDP-Tcp#90                 2     15,600 K
rdpclip.exe                  31692                            5     15,120 K
conhost.exe                  22632 RDP-Tcp#90                 2     14,936 K
vmtoolsd.exe                  7960 RDP-Tcp#90                 2     14,896 K
rdpclip.exe                  32532                            9     14,896 K
vmtoolsd.exe                 23776                            3     14,384 K
taskhostw.exe                23096                            3     14,356 K
RuntimeBroker.exe             9044                            9     14,316 K
SMSvcHost.exe                 7872 Services                   0     14,248 K
vmtoolsd.exe                 50820                            6     14,184 K
svchost.exe                   2384 Services                   0     14,176 K
vmtoolsd.exe                 15220                            5     14,124 K
rdpclip.exe                  53764                            6     13,908 K
notepad.exe                  39016 RDP-Tcp#90                 2     13,536 K
notepad.exe                  26932 RDP-Tcp#90                 2     13,504 K
bpcd.exe                      5544 Services                   0     13,392 K
ShellExperienceHost.exe      31728                            6     13,260 K
rhs.exe                       7944 Services                   0     13,192 K
conhost.exe                   8384                            6     12,984 K
dllhost.exe                   4836 Services                   0     12,888 K
VGAuthService.exe             3052 Services                   0     12,872 K
notepad.exe                   4764 RDP-Tcp#90                 2     12,836 K
conhost.exe                  29144                            5     12,664 K
SearchUI.exe                 17372                            6     12,600 K
ShellExperienceHost.exe      23180                            3     12,360 K
SearchUI.exe                 22628                            3     12,124 K
